orderID,customerID,employeeID,orderDate,requiredDate,shippedDate,shipperID,freight
10248,VINET,5,2013-07-04,2013-08-01,2013-07-16,3,32.38
10249,TOMSP,6,2013-07-05,2013-08-16,2013-07-10,1,11.61
10250,HANAR,4,2013-07-08,2013-08-05,2013-07-12,2,65.83
10251,VICTE,3,2013-07-08,2013-08-05,2013-07-15,1,41.34
10252,SUPRD,4,2013-07-09,2013-08-06,2013-07-11,2,51.3
10253,HANAR,3,2013-07-10,2013-07-24,2013-07-16,2,58.17
10254,CHOPS,5,2013-07-11,2013-08-08,2013-07-23,2,22.98
10255,RICSU,9,2013-07-12,2013-08-09,2013-07-15,3,148.33
10256,WELLI,3,2013-07-15,2013-08-12,2013-07-17,2,13.97
10257,HILAA,4,2013-07-16,2013-08-13,2013-07-22,3,81.91
10258,ERNSH,1,2013-07-17,2013-08-14,2013-07-23,1,140.51
10259,CENTC,4,2013-07-18,2013-08-15,2013-07-25,3,3.25
10260,OTTIK,4,2013-07-19,2013-08-16,2013-07-29,1,55.09
10261,QUEDE,4,2013-07-19,2013-08-16,2013-07-30,2,3.05
10262,RATTC,8,2013-07-22,2013-08-19,2013-07-25,3,48.29
10263,ERNSH,9,2013-07-23,2013-08-20,2013-07-31,3,146.06
10264,FOLKO,6,2013-07-24,2013-08-21,2013-08-23,3,3.67
10265,BLONP,2,2013-07-25,2013-08-22,2013-08-12,1,55.28
10266,WARTH,3,2013-07-26,2013-09-06,2013-07-31,3,25.73
10267,FRANK,4,2013-07-29,2013-08-26,2013-08-06,1,208.58
10268,GROSR,8,2013-07-30,2013-08-27,2013-08-02,3,66.29
10269,WHITC,5,2013-07-31,2013-08-14,2013-08-09,1,4.56
10270,WARTH,1,2013-08-01,2013-08-29,2013-08-02,1,136.54
10271,SPLIR,6,2013-08-01,2013-08-29,2013-08-30,2,4.54
10272,RATTC,6,2013-08-02,2013-08-30,2013-08-06,2,98.03
10273,QUICK,3,2013-08-05,2013-09-02,2013-08-12,3,76.07
10274,VINET,6,2013-08-06,2013-09-03,2013-08-16,1,6.01
10275,MAGAA,1,2013-08-07,2013-09-04,2013-08-09,1,26.93
10276,TORTU,8,2013-08-08,2013-08-22,2013-08-14,3,13.84
10277,MORGK,2,2013-08-09,2013-09-06,2013-08-13,3,125.77
10278,BERGS,8,2013-08-12,2013-09-09,2013-08-16,2,92.69
10279,LEHMS,8,2013-08-13,2013-09-10,2013-08-16,2,25.83
10280,BERGS,2,2013-08-14,2013-09-11,2013-09-12,1,8.98
10281,ROMEY,4,2013-08-14,2013-08-28,2013-08-21,1,2.94
10282,ROMEY,4,2013-08-15,2013-09-12,2013-08-21,1,12.69
10283,LILAS,3,2013-08-16,2013-09-13,2013-08-23,3,84.81
10284,LEHMS,4,2013-08-19,2013-09-16,2013-08-27,1,76.56
10285,QUICK,1,2013-08-20,2013-09-17,2013-08-26,2,76.83
10286,QUICK,8,2013-08-21,2013-09-18,2013-08-30,3,229.24
10287,RICAR,8,2013-08-22,2013-09-19,2013-08-28,3,12.76
10288,REGGC,4,2013-08-23,2013-09-20,2013-09-03,1,7.45
10289,BSBEV,7,2013-08-26,2013-09-23,2013-08-28,3,22.77
10290,COMMI,8,2013-08-27,2013-09-24,2013-09-03,1,79.7
10291,QUEDE,6,2013-08-27,2013-09-24,2013-09-04,2,6.4
10292,TRADH,1,2013-08-28,2013-09-25,2013-09-02,2,1.35
10293,TORTU,1,2013-08-29,2013-09-26,2013-09-11,3,21.18
10294,RATTC,4,2013-08-30,2013-09-27,2013-09-05,2,147.26
10295,VINET,2,2013-09-02,2013-09-30,2013-09-10,2,1.15
10296,LILAS,6,2013-09-03,2013-10-01,2013-09-11,1,0.12
10297,BLONP,5,2013-09-04,2013-10-16,2013-09-10,2,5.74
10298,HUNGO,6,2013-09-05,2013-10-03,2013-09-11,2,168.22
10299,RICAR,4,2013-09-06,2013-10-04,2013-09-13,2,29.76
10300,MAGAA,2,2013-09-09,2013-10-07,2013-09-18,2,17.68
10301,WANDK,8,2013-09-09,2013-10-07,2013-09-17,2,45.08
10302,SUPRD,4,2013-09-10,2013-10-08,2013-10-09,2,6.27
10303,GODOS,7,2013-09-11,2013-10-09,2013-09-18,2,107.83
10304,TORTU,1,2013-09-12,2013-10-10,2013-09-17,2,63.79
10305,OLDWO,8,2013-09-13,2013-10-11,2013-10-09,3,257.62
10306,ROMEY,1,2013-09-16,2013-10-14,2013-09-23,3,7.56
10307,LONEP,2,2013-09-17,2013-10-15,2013-09-25,2,0.56
10308,ANATR,7,2013-09-18,2013-10-16,2013-09-24,3,1.61
10309,HUNGO,3,2013-09-19,2013-10-17,2013-10-23,1,47.3
10310,THEBI,8,2013-09-20,2013-10-18,2013-09-27,2,17.52
10311,DUMON,1,2013-09-20,2013-10-04,2013-09-26,3,24.69
10312,WANDK,2,2013-09-23,2013-10-21,2013-10-03,2,40.26
10313,QUICK,2,2013-09-24,2013-10-22,2013-10-04,2,1.96
10314,RATTC,1,2013-09-25,2013-10-23,2013-10-04,2,74.16
10315,ISLAT,4,2013-09-26,2013-10-24,2013-10-03,2,41.76
10316,RATTC,1,2013-09-27,2013-10-25,2013-10-08,3,150.15
10317,LONEP,6,2013-09-30,2013-10-28,2013-10-10,1,12.69
10318,ISLAT,8,2013-10-01,2013-10-29,2013-10-04,2,4.73
10319,TORTU,7,2013-10-02,2013-10-30,2013-10-11,3,64.5
10320,WARTH,5,2013-10-03,2013-10-17,2013-10-18,3,34.57
10321,ISLAT,3,2013-10-03,2013-10-31,2013-10-11,2,3.43
10322,PERIC,7,2013-10-04,2013-11-01,2013-10-23,3,0.4
10323,KOENE,4,2013-10-07,2013-11-04,2013-10-14,1,4.88
10324,SAVEA,9,2013-10-08,2013-11-05,2013-10-10,1,214.27
10325,KOENE,1,2013-10-09,2013-10-23,2013-10-14,3,64.86
10326,BOLID,4,2013-10-10,2013-11-07,2013-10-14,2,77.92
10327,FOLKO,2,2013-10-11,2013-11-08,2013-10-14,1,63.36
10328,FURIB,4,2013-10-14,2013-11-11,2013-10-17,3,87.03
10329,SPLIR,4,2013-10-15,2013-11-26,2013-10-23,2,191.67
10330,LILAS,3,2013-10-16,2013-11-13,2013-10-28,1,12.75
10331,BONAP,9,2013-10-16,2013-11-27,2013-10-21,1,10.19
10332,MEREP,3,2013-10-17,2013-11-28,2013-10-21,2,52.84
10333,WARTH,5,2013-10-18,2013-11-15,2013-10-25,3,0.59
10334,VICTE,8,2013-10-21,2013-11-18,2013-10-28,2,8.56
10335,HUNGO,7,2013-10-22,2013-11-19,2013-10-24,2,42.11
10336,PRINI,7,2013-10-23,2013-11-20,2013-10-25,2,15.51
10337,FRANK,4,2013-10-24,2013-11-21,2013-10-29,3,108.26
10338,OLDWO,4,2013-10-25,2013-11-22,2013-10-29,3,84.21
10339,MEREP,2,2013-10-28,2013-11-25,2013-11-04,2,15.66
10340,BONAP,1,2013-10-29,2013-11-26,2013-11-08,3,166.31
10341,SIMOB,7,2013-10-29,2013-11-26,2013-11-05,3,26.78
10342,FRANK,4,2013-10-30,2013-11-13,2013-11-04,2,54.83
10343,LEHMS,4,2013-10-31,2013-11-28,2013-11-06,1,110.37
10344,WHITC,4,2013-11-01,2013-11-29,2013-11-05,2,23.29
10345,QUICK,2,2013-11-04,2013-12-02,2013-11-11,2,249.06
10346,RATTC,3,2013-11-05,2013-12-17,2013-11-08,3,142.08
10347,FAMIA,4,2013-11-06,2013-12-04,2013-11-08,3,3.1
10348,WANDK,4,2013-11-07,2013-12-05,2013-11-15,2,0.78
10349,SPLIR,7,2013-11-08,2013-12-06,2013-11-15,1,8.63
10350,LAMAI,6,2013-11-11,2013-12-09,2013-12-03,2,64.19
10351,ERNSH,1,2013-11-11,2013-12-09,2013-11-20,1,162.33
10352,FURIB,3,2013-11-12,2013-11-26,2013-11-18,3,1.3
10353,PICCO,7,2013-11-13,2013-12-11,2013-11-25,3,360.63
10354,PERIC,8,2013-11-14,2013-12-12,2013-11-20,3,53.8
10355,AROUT,6,2013-11-15,2013-12-13,2013-11-20,1,41.95
10356,WANDK,6,2013-11-18,2013-12-16,2013-11-27,2,36.71
10357,LILAS,1,2013-11-19,2013-12-17,2013-12-02,3,34.88
10358,LAMAI,5,2013-11-20,2013-12-18,2013-11-27,1,19.64
10359,SEVES,5,2013-11-21,2013-12-19,2013-11-26,3,288.43
10360,BLONP,4,2013-11-22,2013-12-20,2013-12-02,3,131.7
10361,QUICK,1,2013-11-22,2013-12-20,2013-12-03,2,183.17
10362,BONAP,3,2013-11-25,2013-12-23,2013-11-28,1,96.04
10363,DRACD,4,2013-11-26,2013-12-24,2013-12-04,3,30.54
10364,EASTC,1,2013-11-26,2014-01-07,2013-12-04,1,71.97
10365,ANTON,3,2013-11-27,2013-12-25,2013-12-02,2,22
10366,GALED,8,2013-11-28,2014-01-09,2013-12-30,2,10.14
10367,VAFFE,7,2013-11-28,2013-12-26,2013-12-02,3,13.55
10368,ERNSH,2,2013-11-29,2013-12-27,2013-12-02,2,101.95
10369,SPLIR,8,2013-12-02,2013-12-30,2013-12-09,2,195.68
10370,CHOPS,6,2013-12-03,2013-12-31,2013-12-27,2,1.17
10371,LAMAI,1,2013-12-03,2013-12-31,2013-12-24,1,0.45
10372,QUEEN,5,2013-12-04,2014-01-01,2013-12-09,2,890.78
10373,HUNGO,4,2013-12-05,2014-01-02,2013-12-11,3,124.12
10374,WOLZA,1,2013-12-05,2014-01-02,2013-12-09,3,3.94
10375,HUNGC,3,2013-12-06,2014-01-03,2013-12-09,2,20.12
10376,MEREP,1,2013-12-09,2014-01-06,2013-12-13,2,20.39
10377,SEVES,1,2013-12-09,2014-01-06,2013-12-13,3,22.21
10378,FOLKO,5,2013-12-10,2014-01-07,2013-12-19,3,5.44
10379,QUEDE,2,2013-12-11,2014-01-08,2013-12-13,1,45.03
10380,HUNGO,8,2013-12-12,2014-01-09,2014-01-16,3,35.03
10381,LILAS,3,2013-12-12,2014-01-09,2013-12-13,3,7.99
10382,ERNSH,4,2013-12-13,2014-01-10,2013-12-16,1,94.77
10383,AROUT,8,2013-12-16,2014-01-13,2013-12-18,3,34.24
10384,BERGS,3,2013-12-16,2014-01-13,2013-12-20,3,168.64
10385,SPLIR,1,2013-12-17,2014-01-14,2013-12-23,2,30.96
10386,FAMIA,9,2013-12-18,2014-01-01,2013-12-25,3,13.99
10387,SANTG,1,2013-12-18,2014-01-15,2013-12-20,2,93.63
10388,SEVES,2,2013-12-19,2014-01-16,2013-12-20,1,34.86
10389,BOTTM,4,2013-12-20,2014-01-17,2013-12-24,2,47.42
10390,ERNSH,6,2013-12-23,2014-01-20,2013-12-26,1,126.38
10391,DRACD,3,2013-12-23,2014-01-20,2013-12-31,3,5.45
10392,PICCO,2,2013-12-24,2014-01-21,2014-01-01,3,122.46
10393,SAVEA,1,2013-12-25,2014-01-22,2014-01-03,3,126.56
10394,HUNGC,1,2013-12-25,2014-01-22,2014-01-03,3,30.34
10395,HILAA,6,2013-12-26,2014-01-23,2014-01-03,1,184.41
10396,FRANK,1,2013-12-27,2014-01-10,2014-01-06,3,135.35
10397,PRINI,5,2013-12-27,2014-01-24,2014-01-02,1,60.26
10398,SAVEA,2,2013-12-30,2014-01-27,2014-01-09,3,89.16
10399,VAFFE,8,2013-12-31,2014-01-14,2014-01-08,3,27.36
10400,EASTC,1,2014-01-01,2014-01-29,2014-01-16,3,83.93
10401,RATTC,1,2014-01-01,2014-01-29,2014-01-10,1,12.51
10402,ERNSH,8,2014-01-02,2014-02-13,2014-01-10,2,67.88
10403,ERNSH,4,2014-01-03,2014-01-31,2014-01-09,3,73.79
10404,MAGAA,2,2014-01-03,2014-01-31,2014-01-08,1,155.97
10405,LINOD,1,2014-01-06,2014-02-03,2014-01-22,1,34.82
10406,QUEEN,7,2014-01-07,2014-02-18,2014-01-13,1,108.04
10407,OTTIK,2,2014-01-07,2014-02-04,2014-01-30,2,91.48
10408,FOLIG,8,2014-01-08,2014-02-05,2014-01-14,1,11.26
10409,OCEAN,3,2014-01-09,2014-02-06,2014-01-14,1,29.83
10410,BOTTM,3,2014-01-10,2014-02-07,2014-01-15,3,2.4
10411,BOTTM,9,2014-01-10,2014-02-07,2014-01-21,3,23.65
10412,WARTH,8,2014-01-13,2014-02-10,2014-01-15,2,3.77
10413,LAMAI,3,2014-01-14,2014-02-11,2014-01-16,2,95.66
10414,FAMIA,2,2014-01-14,2014-02-11,2014-01-17,3,21.48
10415,HUNGC,3,2014-01-15,2014-02-12,2014-01-24,1,0.2
10416,WARTH,8,2014-01-16,2014-02-13,2014-01-27,3,22.72
10417,SIMOB,4,2014-01-16,2014-02-13,2014-01-28,3,70.29
10418,QUICK,4,2014-01-17,2014-02-14,2014-01-24,1,17.55
10419,RICSU,4,2014-01-20,2014-02-17,2014-01-30,2,137.35
10420,WELLI,3,2014-01-21,2014-02-18,2014-01-27,1,44.12
10421,QUEDE,8,2014-01-21,2014-03-04,2014-01-27,1,99.23
10422,FRANS,2,2014-01-22,2014-02-19,2014-01-31,1,3.02
10423,GOURL,6,2014-01-23,2014-02-06,2014-02-24,3,24.5
10424,MEREP,7,2014-01-23,2014-02-20,2014-01-27,2,370.61
10425,LAMAI,6,2014-01-24,2014-02-21,2014-02-14,2,7.93
10426,GALED,4,2014-01-27,2014-02-24,2014-02-06,1,18.69
10427,PICCO,4,2014-01-27,2014-02-24,2014-03-03,2,31.29
10428,REGGC,7,2014-01-28,2014-02-25,2014-02-04,1,11.09
10429,HUNGO,3,2014-01-29,2014-03-12,2014-02-07,2,56.63
10430,ERNSH,4,2014-01-30,2014-02-13,2014-02-03,1,458.78
10431,BOTTM,4,2014-01-30,2014-02-13,2014-02-07,2,44.17
10432,SPLIR,3,2014-01-31,2014-02-14,2014-02-07,2,4.34
10433,PRINI,3,2014-02-03,2014-03-03,2014-03-04,3,73.83
10434,FOLKO,3,2014-02-03,2014-03-03,2014-02-13,2,17.92
10435,CONSH,8,2014-02-04,2014-03-18,2014-02-07,2,9.21
10436,BLONP,3,2014-02-05,2014-03-05,2014-02-11,2,156.66
10437,WARTH,8,2014-02-05,2014-03-05,2014-02-12,1,19.97
10438,TOMSP,3,2014-02-06,2014-03-06,2014-02-14,2,8.24
10439,MEREP,6,2014-02-07,2014-03-07,2014-02-10,3,4.07
10440,SAVEA,4,2014-02-10,2014-03-10,2014-02-28,2,86.53
10441,OLDWO,3,2014-02-10,2014-03-24,2014-03-14,2,73.02
10442,ERNSH,3,2014-02-11,2014-03-11,2014-02-18,2,47.94
10443,REGGC,8,2014-02-12,2014-03-12,2014-02-14,1,13.95
10444,BERGS,3,2014-02-12,2014-03-12,2014-02-21,3,3.5
10445,BERGS,3,2014-02-13,2014-03-13,2014-02-20,1,9.3
10446,TOMSP,6,2014-02-14,2014-03-14,2014-02-19,1,14.68
10447,RICAR,4,2014-02-14,2014-03-14,2014-03-07,2,68.66
10448,RANCH,4,2014-02-17,2014-03-17,2014-02-24,2,38.82
10449,BLONP,3,2014-02-18,2014-03-18,2014-02-27,2,53.3
10450,VICTE,8,2014-02-19,2014-03-19,2014-03-11,2,7.23
10451,QUICK,4,2014-02-19,2014-03-05,2014-03-12,3,189.09
10452,SAVEA,8,2014-02-20,2014-03-20,2014-02-26,1,140.26
10453,AROUT,1,2014-02-21,2014-03-21,2014-02-26,2,25.36
10454,LAMAI,4,2014-02-21,2014-03-21,2014-02-25,3,2.74
10455,WARTH,8,2014-02-24,2014-04-07,2014-03-03,2,180.45
10456,KOENE,8,2014-02-25,2014-04-08,2014-02-28,2,8.12
10457,KOENE,2,2014-02-25,2014-03-25,2014-03-03,1,11.57
10458,SUPRD,7,2014-02-26,2014-03-26,2014-03-04,3,147.06
10459,VICTE,4,2014-02-27,2014-03-27,2014-02-28,2,25.09
10460,FOLKO,8,2014-02-28,2014-03-28,2014-03-03,1,16.27
10461,LILAS,1,2014-02-28,2014-03-28,2014-03-05,3,148.61
10462,CONSH,2,2014-03-03,2014-03-31,2014-03-18,1,6.17
10463,SUPRD,5,2014-03-04,2014-04-01,2014-03-06,3,14.78
10464,FURIB,4,2014-03-04,2014-04-01,2014-03-14,2,89
10465,VAFFE,1,2014-03-05,2014-04-02,2014-03-14,3,145.04
10466,COMMI,4,2014-03-06,2014-04-03,2014-03-13,1,11.93
10467,MAGAA,8,2014-03-06,2014-04-03,2014-03-11,2,4.93
10468,KOENE,3,2014-03-07,2014-04-04,2014-03-12,3,44.12
10469,WHITC,1,2014-03-10,2014-04-07,2014-03-14,1,60.18
10470,BONAP,4,2014-03-11,2014-04-08,2014-03-14,2,64.56
10471,BSBEV,2,2014-03-11,2014-04-08,2014-03-18,3,45.59
10472,SEVES,8,2014-03-12,2014-04-09,2014-03-19,1,4.2
10473,ISLAT,1,2014-03-13,2014-03-27,2014-03-21,3,16.37
10474,PERIC,5,2014-03-13,2014-04-10,2014-03-21,2,83.49
10475,SUPRD,9,2014-03-14,2014-04-11,2014-04-04,1,68.52
10476,HILAA,8,2014-03-17,2014-04-14,2014-03-24,3,4.41
10477,PRINI,5,2014-03-17,2014-04-14,2014-03-25,2,13.02
10478,VICTE,2,2014-03-18,2014-04-01,2014-03-26,3,4.81
10479,RATTC,3,2014-03-19,2014-04-16,2014-03-21,3,708.95
10480,FOLIG,6,2014-03-20,2014-04-17,2014-03-24,2,1.35
